 thodau01@cesw-amp-gbt-1s-m12830-01:~/repos/dpdk$ sudo build/app/dpdk-test-crypto-perf --socket-mem 1024,0 --legacy-mem --vdev crypto_openssl -l 3,4 -n 4 -- --buffer-sz 64,128,256,512,1024,2048,4096,8192 --optype cipher-then-auth --ptest throughput --auth-key-sz 64 --cipher-key-sz 16 --cipher-iv-sz 16 --auth-op generate --burst-sz 32 --total-ops 10000000 --silent --digest-sz 12 --auth-algo sha1-hmac --cipher-algo aes-cbc --cipher-op encrypt --devtype crypto_openssl
EAL: Detected CPU lcores: 128
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
CRYPTODEV: Creating cryptodev crypto_openssl
CRYPTODEV: Initialisation parameters - name: crypto_openssl,socket id: 0, max queue pairs: 8
Allocated pool "sess_mp_0" on socket 0
    lcore id    Buf Size  Burst Size    Enqueued    Dequeued  Failed Enq  Failed Deq        MOps        Gbps  Cycles/Buf

           4          64          32    10000000    10000000           0           0      1.9907      1.0192       12.56
           4         128          32    10000000    10000000           0           0      1.7734      1.8159       14.10
           4         256          32    10000000    10000000           0           0      1.4559      2.9816       17.17
           4         512          32    10000000    10000000           0           0      1.0712      4.3877       23.34
           4        1024          32    10000000    10000000           0           0      0.6988      5.7248       35.77
           4        2048          32    10000000    10000000           0           0      0.4144      6.7895       60.33
           4        4096          32    10000000    10000000           0           0      0.2283      7.4813      109.50
           4        8192          32    10000000    10000000           0           0      0.1202      7.8785      207.96

